session_id,user_id,session_start,session_date,channel,campaign,device,country,browser,is_new_user,page_views,duration_seconds,bounced,converted,session_cost_usd
S0000091,U009750,2025-01-01 11:44:25,2025-01-01,Paid Search,competitor,mobile,France,Safari,False,1,71,True,False,1.74
S0000092,U007173,2025-01-01 06:05:14,2025-01-01,Organic Search,,mobile,France,Chrome,True,5,82,False,False,0.0
S0000093,U013697,2025-01-01 06:36:02,2025-01-01,Paid Search,shoes_generic,mobile,Germany,Firefox,False,1,133,True,False,0.88
S0000094,U007709,2025-01-01 11:52:31,2025-01-01,Direct,,mobile,Canada,Chrome,True,2,217,False,False,0.0
S0000095,U007701,2025-01-01 11:44:31,2025-01-01,Direct,,desktop,Spain,Chrome,True,2,272,False,False,0.0
S0000096,U006562,2025-01-01 13:49:25,2025-01-01,Paid Search,brand_search,mobile,France,Chrome,False,1,26,True,False,1.37
S0000097,U010776,2025-01-01 13:31:40,2025-01-01,Direct,,mobile,USA,Safari,False,1,66,True,False,0.0
S0000098,U000846,2025-01-01 11:07:01,2025-01-01,Paid Search,shoes_generic,tablet,USA,Safari,True,1,16,True,False,0.7
S0000099,U011630,2025-01-01 19:58:07,2025-01-01,Paid Search,brand_search,mobile,France,Samsung Internet,True,2,184,False,False,0.63
S0000100,U010613,2025-01-01 13:53:30,2025-01-01,Direct,,desktop,USA,Chrome,False,3,239,False,False,0.0
S0000101,U003994,2025-01-01 12:08:55,2025-01-01,Organic Search,,mobile,UK,Safari,True,1,30,True,False,0.0
S0000102,U012660,2025-01-01 14:18:46,2025-01-01,Direct,,tablet,USA,Firefox,False,1,39,True,False,0.0
S0000103,U009617,2025-01-01 08:21:35,2025-01-01,Paid Search,competitor,desktop,USA,Chrome,False,1,150,True,False,0.83
S0000104,U007461,2025-01-01 10:54:49,2025-01-01,Email,win_back,tablet,France,Chrome,False,1,244,True,False,0.0
S0000105,U012202,2025-01-01 11:41:09,2025-01-01,Referral,,mobile,Canada,Firefox,True,8,97,False,False,0.0
S0000106,U000607,2025-01-01 09:06:33,2025-01-01,Display,display_retarget,mobile,France,Firefox,True,2,101,False,False,0.24
S0000107,U011837,2025-01-01 14:16:21,2025-01-01,Email,post_purchase,tablet,France,Firefox,True,1,85,True,False,0.0
S0000108,U010647,2025-01-01 12:40:45,2025-01-01,Direct,,desktop,USA,Samsung Internet,True,2,226,False,False,0.0
S0000109,U007995,2025-01-01 07:14:47,2025-01-01,Organic Search,,mobile,UK,Edge,False,2,136,False,False,0.0
S0000110,U001613,2025-01-01 13:01:02,2025-01-01,Social,fb_retargeting,mobile,France,Chrome,False,1,8,True,False,0.57
S0000111,U004807,2025-01-01 08:11:10,2025-01-01,Direct,,mobile,USA,Safari,True,1,76,True,False,0.0
S0000112,U009986,2025-01-01 17:29:40,2025-01-01,Paid Search,running_keywords,mobile,Italy,Chrome,False,2,148,False,False,1.29
S0000113,U010926,2025-01-01 11:28:22,2025-01-01,Email,win_back,desktop,UK,Chrome,True,10,197,False,False,0.0
S0000114,U010469,2025-01-01 09:54:30,2025-01-01,Social,fb_prospecting,mobile,France,Samsung Internet,False,1,42,True,False,0.8
S0000115,U009371,2025-01-01 18:25:17,2025-01-01,Organic Search,,desktop,France,Firefox,True,1,50,True,False,0.0
S0000116,U014174,2025-01-01 08:57:57,2025-01-01,Social,ig_lookalike,mobile,UK,Chrome,False,4,130,False,False,0.75
S0000117,U009947,2025-01-01 11:49:42,2025-01-01,Organic Search,,mobile,France,Safari,False,5,204,False,False,0.0
S0000118,U002241,2025-01-01 11:37:23,2025-01-01,Referral,,desktop,France,Chrome,False,1,62,True,False,0.0
S0000119,U001477,2025-01-01 17:56:23,2025-01-01,Direct,,mobile,France,Firefox,False,2,162,False,False,0.0
S0000120,U014967,2025-01-01 13:18:47,2025-01-01,Organic Search,,desktop,Belgium,Samsung Internet,True,5,75,False,False,0.0
S0000121,U013177,2025-01-01 07:46:43,2025-01-01,Display,programmatic,mobile,Belgium,Firefox,True,7,12,False,False,0.33
S0000122,U005993,2025-01-01 15:47:43,2025-01-01,Direct,,mobile,France,Chrome,True,3,277,False,False,0.0
S0000123,U006243,2025-01-01 17:56:35,2025-01-01,Referral,,mobile,France,Chrome,False,1,22,True,False,0.0
S0000124,U009996,2025-01-01 04:26:07,2025-01-01,Organic Search,,desktop,Italy,Chrome,True,2,39,False,False,0.0
S0000125,U000610,2025-01-01 19:29:23,2025-01-01,Direct,,mobile,Italy,Chrome,True,1,300,True,False,0.0
S0000126,U012176,2025-01-01 09:41:06,2025-01-01,Paid Search,competitor,mobile,Germany,Edge,False,3,50,False,False,1.76
S0000127,U004584,2025-01-01 16:06:43,2025-01-01,Direct,,mobile,Belgium,Firefox,True,3,64,False,False,0.0
S0000128,U014774,2025-01-01 20:54:52,2025-01-01,Direct,,mobile,France,Chrome,False,3,39,False,False,0.0
S0000129,U010859,2025-01-01 12:08:50,2025-01-01,Paid Search,brand_search,tablet,France,Chrome,True,7,119,False,False,1.7
S0000130,U013596,2025-01-01 02:09:50,2025-01-01,Organic Search,,mobile,Spain,Chrome,False,5,21,False,False,0.0
S0000131,U000047,2025-01-01 14:07:42,2025-01-01,Display,display_retarget,tablet,USA,Firefox,True,2,113,False,False,0.25
S0000132,U000244,2025-01-01 14:08:47,2025-01-01,Social,fb_retargeting,mobile,France,Chrome,True,1,115,True,False,1.14
S0000133,U012217,2025-01-01 20:14:39,2025-01-01,Direct,,mobile,UK,Chrome,True,2,578,False,False,0.0
S0000134,U012833,2025-01-01 06:30:54,2025-01-01,Paid Search,brand_search,mobile,UK,Chrome,False,1,124,True,False,0.46
S0000135,U008033,2025-01-01 11:08:17,2025-01-01,Direct,,desktop,France,Chrome,False,2,267,False,False,0.0
S0000136,U009591,2025-01-01 11:38:27,2025-01-01,Direct,,tablet,USA,Chrome,True,5,158,False,False,0.0
S0000137,U011498,2025-01-01 09:27:28,2025-01-01,Paid Search,competitor,desktop,USA,Firefox,True,1,73,True,False,1.31
S0000138,U005554,2025-01-01 20:16:23,2025-01-01,Direct,,desktop,France,Chrome,False,1,120,True,False,0.0
S0000139,U011253,2025-01-01 15:47:23,2025-01-01,Organic Search,,desktop,France,Chrome,False,1,30,True,False,0.0
S0000140,U009116,2025-01-01 08:55:42,2025-01-01,Display,youtube_brand,mobile,UK,Chrome,True,1,123,True,False,0.4
S0000141,U014223,2025-01-01 13:32:13,2025-01-01,Organic Search,,mobile,France,Chrome,False,2,79,False,False,0.0
S0000142,U007901,2025-01-01 19:36:14,2025-01-01,Organic Search,,desktop,France,Safari,True,1,91,True,False,0.0
S0000143,U013848,2025-01-01 05:38:59,2025-01-01,Social,tiktok_brand,desktop,UK,Safari,False,1,44,True,False,0.68
S0000144,U000475,2025-01-01 13:55:09,2025-01-01,Social,fb_prospecting,mobile,France,Chrome,True,1,86,True,False,0.78
S0000145,U001141,2025-01-01 08:26:29,2025-01-01,Paid Search,running_keywords,mobile,Germany,Chrome,True,1,13,True,False,1.29
S0000146,U005106,2025-01-01 04:10:48,2025-01-01,Social,fb_retargeting,mobile,France,Chrome,False,1,34,True,False,0.88
S0000147,U004459,2025-01-01 04:32:07,2025-01-01,Direct,,mobile,USA,Chrome,True,1,212,True,False,0.0
S0000148,U001817,2025-01-01 07:25:38,2025-01-01,Social,ig_lookalike,mobile,UK,Chrome,True,4,21,False,False,0.87
S0000149,U004939,2025-01-01 10:31:47,2025-01-01,Social,ig_lookalike,desktop,France,Chrome,False,1,182,True,False,1.04
S0000150,U006230,2025-01-01 11:25:55,2025-01-01,Organic Search,,mobile,UK,Chrome,True,2,28,False,False,0.0
S0000151,U007148,2025-01-01 10:45:40,2025-01-01,Referral,,desktop,USA,Safari,True,5,124,False,False,0.0
S0000152,U001888,2025-01-01 19:44:58,2025-01-01,Display,youtube_brand,mobile,Belgium,Chrome,True,4,17,False,False,0.14
S0000153,U013837,2025-01-01 11:47:21,2025-01-01,Direct,,mobile,France,Edge,True,3,217,False,False,0.0
S0000154,U012766,2025-01-01 14:22:22,2025-01-01,Direct,,mobile,USA,Edge,True,2,32,False,False,0.0
S0000155,U013418,2025-01-01 21:09:48,2025-01-01,Organic Search,,mobile,France,Chrome,False,3,174,False,False,0.0
S0000156,U001235,2025-01-01 12:28:43,2025-01-01,Social,tiktok_brand,mobile,Germany,Safari,True,1,76,True,False,0.76
S0000157,U014160,2025-01-01 15:50:17,2025-01-01,Organic Search,,mobile,USA,Safari,False,1,91,True,False,0.0
S0000158,U005767,2025-01-01 13:04:41,2025-01-01,Organic Search,,mobile,France,Firefox,True,1,66,True,False,0.0
S0000159,U014014,2025-01-01 02:47:57,2025-01-01,Paid Search,shoes_generic,mobile,UK,Samsung Internet,True,6,94,False,False,1.59
S0000160,U005268,2025-01-01 15:53:21,2025-01-01,Direct,,tablet,USA,Firefox,False,7,62,False,False,0.0
S0000161,U001382,2025-01-01 01:33:39,2025-01-01,Organic Search,,mobile,USA,Chrome,True,1,267,True,False,0.0
S0000162,U006109,2025-01-01 09:40:41,2025-01-01,Direct,,desktop,UK,Chrome,False,9,416,False,False,0.0
S0000163,U005402,2025-01-01 11:58:38,2025-01-01,Social,tiktok_brand,mobile,Germany,Safari,True,1,56,True,False,0.48
S0000164,U001336,2025-01-01 11:25:08,2025-01-01,Organic Search,,mobile,Belgium,Safari,False,1,94,True,False,0.0
S0000165,U001389,2025-01-01 16:53:47,2025-01-01,Direct,,desktop,Spain,Safari,True,1,64,True,False,0.0
S0000166,U014950,2025-01-01 20:11:13,2025-01-01,Paid Search,competitor,mobile,France,Chrome,True,3,471,False,False,0.51
S0000167,U003146,2025-01-01 10:49:34,2025-01-01,Organic Search,,mobile,Spain,Chrome,True,2,78,False,False,0.0
S0000168,U014479,2025-01-01 11:09:10,2025-01-01,Social,ig_lookalike,desktop,UK,Safari,True,3,47,False,False,0.32
S0000169,U011816,2025-01-01 16:18:48,2025-01-01,Direct,,desktop,France,Chrome,True,2,88,False,False,0.0
S0000170,U007356,2025-01-01 18:12:23,2025-01-01,Organic Search,,tablet,Germany,Edge,True,4,353,False,False,0.0
S0000171,U009346,2025-01-01 10:10:52,2025-01-01,Direct,,mobile,France,Chrome,False,3,68,False,False,0.0
S0000172,U009907,2025-01-01 08:06:45,2025-01-01,Organic Search,,desktop,Spain,Safari,True,7,73,False,False,0.0
S0000173,U013946,2025-01-01 09:53:27,2025-01-01,Organic Search,,mobile,USA,Chrome,True,1,110,True,False,0.0
S0000174,U014918,2025-01-01 15:32:23,2025-01-01,Direct,,mobile,France,Chrome,True,4,197,False,False,0.0
S0000175,U001338,2025-01-01 10:50:09,2025-01-01,Organic Search,,tablet,Spain,Safari,True,1,135,True,False,0.0
S0000176,U004701,2025-01-01 14:39:00,2025-01-01,Direct,,desktop,Germany,Chrome,False,9,175,False,False,0.0
S0000177,U000312,2025-01-01 16:07:49,2025-01-01,Email,win_back,mobile,Germany,Chrome,True,1,123,True,False,0.0
S0000178,U001997,2025-01-01 18:57:31,2025-01-01,Direct,,desktop,USA,Chrome,True,1,243,True,False,0.0
S0000179,U000270,2025-01-01 05:22:15,2025-01-01,Paid Search,shoes_generic,desktop,France,Chrome,False,2,60,False,False,1.88
S0000180,U010886,2025-01-01 11:50:32,2025-01-01,Direct,,mobile,Belgium,Chrome,False,5,98,False,False,0.0
S0000181,U006398,2025-01-01 10:22:50,2025-01-01,Organic Search,,mobile,France,Safari,False,1,39,True,False,0.0
S0000182,U003951,2025-01-01 19:02:22,2025-01-01,Paid Search,shoes_generic,desktop,Germany,Chrome,False,2,215,False,False,0.5
S0000183,U013606,2025-01-01 19:04:45,2025-01-01,Direct,,desktop,UK,Firefox,False,1,159,True,False,0.0
S0000184,U007499,2025-01-01 18:19:32,2025-01-01,Organic Search,,desktop,Italy,Chrome,True,15,218,False,False,0.0
S0000185,U013360,2025-01-01 17:49:03,2025-01-01,Organic Search,,desktop,France,Chrome,True,1,65,True,False,0.0
S0000186,U005439,2025-01-01 17:24:21,2025-01-01,Social,fb_prospecting,mobile,USA,Chrome,True,1,260,True,False,0.35
S0000187,U011339,2025-01-01 11:05:27,2025-01-01,Referral,,mobile,Spain,Safari,True,1,46,True,False,0.0
S0000188,U013474,2025-01-01 09:28:38,2025-01-01,Organic Search,,mobile,France,Chrome,True,1,8,True,False,0.0
S0000189,U002731,2025-01-01 09:27:17,2025-01-01,Direct,,mobile,Spain,Chrome,False,11,40,False,False,0.0
S0000190,U012968,2025-01-01 07:43:10,2025-01-01,Organic Search,,desktop,France,Firefox,False,1,468,True,False,0.0
S0000191,U002340,2025-01-01 23:41:23,2025-01-01,Social,fb_retargeting,mobile,France,Chrome,False,1,39,True,False,0.87
S0000192,U009914,2025-01-01 14:08:33,2025-01-01,Direct,,mobile,USA,Chrome,True,2,73,False,False,0.0
S0000193,U005151,2025-01-01 09:24:58,2025-01-01,Organic Search,,mobile,Germany,Chrome,False,3,45,False,False,0.0
S0000194,U004289,2025-01-01 06:31:12,2025-01-01,Social,fb_retargeting,mobile,UK,Safari,False,8,235,False,False,0.4
S0000195,U007407,2025-01-01 18:20:42,2025-01-01,Social,fb_retargeting,tablet,Spain,Samsung Internet,True,1,52,True,False,0.76
S0000196,U009012,2025-01-01 14:40:11,2025-01-01,Referral,,desktop,Germany,Edge,True,2,49,False,False,0.0
S0000197,U008336,2025-01-01 21:23:35,2025-01-01,Display,youtube_brand,desktop,France,Chrome,True,4,63,False,False,0.28
S0000198,U013168,2025-01-01 14:45:46,2025-01-01,Organic Search,,desktop,France,Chrome,False,1,10,True,False,0.0
S0000199,U006731,2025-01-01 16:28:29,2025-01-01,Email,win_back,mobile,Canada,Safari,False,2,39,False,False,0.0
S0000200,U002103,2025-01-01 09:27:32,2025-01-01,Social,fb_retargeting,desktop,France,Samsung Internet,False,2,36,False,False,1.03
S0000201,U013622,2025-01-01 11:22:33,2025-01-01,Organic Search,,mobile,France,Safari,True,2,9,False,False,0.0
S0000202,U013860,2025-01-01 18:39:34,2025-01-01,Organic Search,,tablet,France,Safari,True,2,139,False,False,0.0
S0000203,U010502,2025-01-01 19:38:21,2025-01-01,Referral,,mobile,UK,Safari,True,3,121,False,False,0.0
S0000204,U009235,2025-01-01 15:16:41,2025-01-01,Email,post_purchase,mobile,Belgium,Firefox,True,5,232,False,False,0.0
S0000205,U010128,2025-01-01 19:30:15,2025-01-01,Direct,,desktop,France,Samsung Internet,False,8,110,False,False,0.0
S0000206,U011223,2025-01-01 08:29:13,2025-01-01,Direct,,desktop,France,Chrome,True,6,72,False,False,0.0
S0000207,U002354,2025-01-01 13:08:48,2025-01-01,Social,fb_retargeting,desktop,Spain,Samsung Internet,True,1,183,True,False,0.85
S0000208,U005229,2025-01-01 10:24:55,2025-01-01,Organic Search,,mobile,France,Chrome,True,2,11,False,False,0.0
S0000209,U004068,2025-01-01 17:12:48,2025-01-01,Referral,,desktop,Italy,Safari,False,1,116,True,False,0.0
S0000210,U008434,2025-01-01 11:29:15,2025-01-01,Email,win_back,mobile,France,Chrome,True,4,355,False,False,0.0
S0000211,U000798,2025-01-01 07:34:00,2025-01-01,Direct,,desktop,UK,Chrome,True,11,103,False,False,0.0
S0000212,U007061,2025-01-01 16:03:36,2025-01-01,Organic Search,,mobile,USA,Chrome,True,1,94,True,False,0.0
S0000213,U005940,2025-01-01 11:39:43,2025-01-01,Organic Search,,mobile,Germany,Chrome,False,2,44,False,False,0.0
S0000214,U002109,2025-01-01 04:48:09,2025-01-01,Direct,,desktop,France,Edge,False,1,198,True,False,0.0
S0000215,U008342,2025-01-01 13:33:29,2025-01-01,Organic Search,,mobile,Germany,Firefox,True,3,45,False,False,0.0
S0000216,U014634,2025-01-01 23:47:53,2025-01-01,Direct,,mobile,France,Samsung Internet,True,2,417,False,False,0.0
S0000217,U005512,2025-01-01 08:01:23,2025-01-01,Direct,,mobile,USA,Chrome,True,6,50,False,False,0.0
S0000218,U001796,2025-01-01 16:01:38,2025-01-01,Paid Search,shoes_generic,desktop,Germany,Safari,False,2,168,False,False,2.4
S0000219,U011820,2025-01-01 08:24:09,2025-01-01,Direct,,mobile,Germany,Firefox,True,2,116,False,False,0.0
S0000220,U003969,2025-01-01 11:09:26,2025-01-01,Referral,,mobile,France,Chrome,True,1,135,True,False,0.0
S0000221,U006724,2025-01-01 12:45:08,2025-01-01,Paid Search,running_keywords,mobile,Spain,Safari,True,5,37,False,False,1.79
S0000222,U010850,2025-01-01 11:34:22,2025-01-01,Direct,,tablet,USA,Chrome,True,7,84,False,False,0.0
